run_signature,pulse_type,noise_case,scattering_model,nbar,gate_time_s,F_avg,infidelity,p_err,p_weight1,p_weight2,offdiag_ratio,error_offdiag_ratio,exact_pauli_distance,alpha_final_abs,alpha_max_abs,alpha2_integral,entangling_angle_error,integrated_omega2,choi_min_eigenvalue,tp_error,hp_error,standard_infidelity,delta_infidelity,improvement_factor
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,smooth_detuning,spin_dephasing_only,constant_rate,0.01,0.0002258,0.9993368457579876,0.0006631542420123,0.0008289543564068,0.0003762848602511,0.0004526694961556,0.7070000153833204,0.0001710168070152,0.0121830910573482,0.0001406027903212,0.1353276117452526,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-3.475863928742819e-07,2.6155311858858205e-15,2.839440462714241e-15,0.0005152820756839,0.0001478721663284,0.777016933677916
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,smooth_detuning,spin_dephasing_only,constant_rate,1.0,0.0002258,0.9985663895769326,0.0014336104230674,0.0017920514787925,0.0003764039606752,0.0014156475181174,0.7059670482011482,0.0001622543420283,0.0337689252798782,0.0001406027903212,0.1353276117452526,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-2.092089466688016e-07,2.777251936139776e-15,2.1244090147394964e-15,0.0015680467937887,-0.00013443637072129994,1.0937746884077861
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,smooth_detuning,spin_dephasing_only,constant_rate,2.0,0.0002258,0.9970898305998476,0.0029101694001525,0.0036377557033255,0.0003764586367873,0.0032612970665381,0.7039844790960502,0.0001577073165345,0.0551155053804633,0.0001406027903212,0.1353276117452526,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-3.428413802118394e-07,5.16325835265633e-15,3.4438730934768377e-15,0.0032914900302044,-0.00038132063005190007,1.1310303895133795
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,smooth_detuning,spin_dephasing_only,constant_rate,3.0,0.0002258,0.994979039250868,0.005020960749132,0.0062762413575737,0.0003765399948364,0.0058997013627371,0.7011349808748719,0.0001561826156913,0.0759397157208262,0.0001406027903212,0.1353276117452526,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,2.6290840571916364e-08,2.323921231062319e-15,2.341929895839126e-15,0.0056152419972977,-0.0005942812481657001,1.1183600665009055
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,smooth_detuning,spin_dephasing_only,constant_rate,4.0,0.0002258,0.9922912129298334,0.0077087870701666,0.009636028960011,0.0003766051578739,0.009259423802137,0.6974863176703161,0.0001564779791299,0.0961953003820563,0.0001406027903212,0.1353276117452526,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-4.209820800044088e-09,3.705038047696849e-15,2.0701751606071477e-15,0.0084853019475026,-0.0007765148773359997,1.1007311358152765
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,0.01,0.0001,0.999484717924316,0.0005152820756839,0.0006441541806071,0.0002865032411011,0.0003576509395059,0.7068382311838282,9.803878141401142e-05,0.0194245968910376,2.13600777145116e-14,0.4999934202464176,1.2499671014485726e-05,-1.033545274109482e-05,98696.0440108936,-8.103090729545774e-08,2.279309533349841e-15,2.3018675581025187e-15,0.0005152820756839,0.0,1.0
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,1.0,0.0001,0.9984319532062113,0.0015680467937887,0.001960096803541,0.0005037096555517,0.0014563871479893,0.7056060319430432,0.0002438564445718,0.0407446486308036,2.13600777145116e-14,0.4999934202464176,1.2499671014485726e-05,-1.033545274109482e-05,98696.0440108936,-2.3863763218044768e-08,2.614872045714289e-15,1.3024054198637797e-15,0.0015680467937887,0.0,1.0
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,2.0,0.0001,0.9967085099697957,0.0032914900302044,0.0041144197139675,0.0007023672279624,0.0034120524860052,0.7034509292904978,0.0003832861860412,0.0618172262873493,2.13600777145116e-14,0.4999934202464176,1.2499671014485726e-05,-1.033545274109482e-05,98696.0440108936,-2.3095460095046504e-08,4.1053317896784576e-15,1.1990859143617526e-15,0.0032914900302044,0.0,1.0
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,3.0,0.0001,0.9943847580027022,0.0056152419972977,0.0070190823702208,0.0008777576562632,0.0061413247139574,0.700451177459184,0.0005076268874084,0.0823727171015532,2.13600777145116e-14,0.4999934202464176,1.2499671014485726e-05,-1.033545274109482e-05,98696.0440108936,-3.2506930222536857e-07,2.873844486098943e-15,1.1486271561867034e-15,0.0056152419972977,0.0,1.0
9cdd438a851e2b3af67dbc694074f21f7f28c10061c1b7627c0c23618aec172c,standard,spin_dephasing_only,constant_rate,4.0,0.0001,0.9915146980524974,0.0084853019475026,0.0106066714937302,0.0010366723409514,0.0095699991527789,0.6966761460330065,0.0006211112826672,0.1023636420917045,2.13600777145116e-14,0.4999934202464176,1.2499671014485726e-05,-1.033545274109482e-05,98696.0440108936,-1.9579948736282162e-07,3.931933935215281e-15,1.3224136616446445e-15,0.0084853019475026,0.0,1.0
58ab749c42d361dafd4c759766477a5637d770c3b0a06bfe0b157e996a20d613,smooth_detuning,photon_scattering_only,constant_rate,0.01,0.0002258,0.9986754873480376,0.0013245126519624,0.001655672732995,0.0008459912429894,0.0008096814900056,0.706999794870701,0.0003122819699725,0.0121860277126702,0.0001406027903212,0.1353276117452526,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,-5.5354831612299435e-08,2.693399677648209e-15,3.728112546767447e-15,0.000808321449669,0.0005161912022934,0.6102783906755362
